Index of Difficulty,Size (px),Distance (px)
44.90216150000924,1276,506
44.90517909999471,1276,505
44.90817050001351,1276,504
44.909378900018055,1276,503
44.91031040000962,1276,502
44.91317539999727,1276,501
44.91416949999984,1276,500
44.917210999992676,1276,499
44.9188698999933,1276,498
44.920148200006224,1276,497
44.92285690002609,1276,496
44.923838299990166,1276,495
44.928172899992205,1276,494
44.92923210002482,1276,493
44.933167800016236,1276,492
44.934288599994034,1276,491
44.93717539997306,1276,490
44.94117700000061,1276,489
44.9451569999801,1276,488
44.95616150001297,1276,487
44.97019580000779,1276,486
45.116260799986776,1276,485
Index of Difficulty,Size (px),Distance (px)
4.446256229889564,30,327
Timestamp (s),Position X (px),Position Y (px)
45.671065800008364,1280,800
45.95806560001802,1280,801
45.95888549997471,1280,802
45.96085440000752,1280,803
45.96218420000514,1280,804
45.963861000025645,1280,805
45.965852900000755,1280,806
45.96719400002621,1280,808
45.96787759999279,1280,809
45.96890759997768,1280,810
45.97018519998528,1280,811
45.97086910001235,1280,812
45.9721819999977,1280,813
45.97285770002054,1280,814
45.974156000011135,1280,815
45.976159500016365,1280,817
45.977180999994744,1280,818
45.97935500001768,1280,819
45.980192799994256,1280,821
45.98186060000444,1279,822
45.98316549998708,1279,823
45.98384210001677,1278,824
45.98488840000937,1278,825
45.986167300026864,1278,827
45.98787130002165,1277,828
45.98886219999986,1277,830
45.99019229999976,1276,830
45.99086730001727,1275,832
45.991859500005376,1275,833
45.992858099984005,1275,834
45.99416599998949,1275,836
45.99616779998178,1274,838
45.99715800001286,1274,840
45.99814340000739,1273,840
45.998864600027446,1272,842
46.000177400012035,1272,844
46.001404499984346,1271,845
46.0018635999877,1271,846
46.003161299973726,1271,848
46.00416800001403,1271,849
46.00486639997689,1270,850
46.00615700002527,1270,851
46.006865600007586,1269,853
46.00815030001104,1269,855
46.00887520000106,1268,856
46.00985660002334,1268,857
46.01084689999698,1267,859
46.01185740000801,1267,860
46.01316460000817,1267,862
46.01418220001506,1267,864
46.01515719998861,1267,865
46.01614339998923,1266,867
46.01688609999837,1266,868
46.01787079998758,1265,870
46.01886549999472,1265,872
46.020155299978796,1265,873
46.02117089997046,1264,875
46.02214969997294,1264,877
46.023147200001404,1264,878
46.02414569997927,1263,880
46.02485899999738,1263,882
46.026173699996434,1263,883
46.02717549999943,1262,885
46.02818239998305,1262,886
46.029237999988254,1262,888
46.02986000000965,1261,891
46.030860500002746,1261,892
46.03215470002033,1261,894
46.032889000023715,1260,898
46.03422229998978,1260,899
46.035183599975426,1260,901
46.03614009998273,1259,908
46.03718320000917,1259,909
46.03787050000392,1258,912
46.03884739999194,1258,915
46.040146699990146,1258,916
46.040857399988454,1258,919
46.042143400001805,1258,920
46.04312609997578,1258,923
46.04414140002336,1257,926
46.045148900011554,1257,929
46.04614599997876,1256,930
46.04713730001822,1255,933
46.04815829999279,1254,936
46.04938649997348,1254,938
46.04991180001525,1253,941
46.05089770001359,1253,944
46.05217400001129,1252,946
46.052860800002236,1252,948
46.05417650000891,1251,951
46.05519310000818,1251,953
46.056173800025135,1250,955
46.057175200025085,1250,957
46.05786950001493,1250,959
46.059217799978796,1249,960
46.06015709997155,1249,963
46.060865800012834,1249,966
46.06315589998849,1248,968
46.064154500025325,1248,970
46.065335499995854,1248,972
46.06617250002455,1247,973
46.067146399989724,1247,974
46.068219600012526,1247,975
46.0692437000107,1247,978
46.070160100003704,1246,979
46.07085159997223,1246,980
46.07184099999722,1246,981
46.07285779999802,1246,982
46.07386730000144,1246,983
46.075157699990086,1245,984
