Index of difficulty (bits),Response time (ms),Target size (px),Target distance (px),Start time (s),End time (s),Target position X (px),Target position Y (px)
4.03121873061072,665,40,327,111.59734530001879,112.26239580003312,-327,1
4.03121873061072,1044,40,327,112.62135910004145,113.66552450001473,0,-327
4.026800059343715,567,20,163,114.06429629999911,114.63146539998706,0,-163
4.026800059343715,626,20,163,114.88242010003887,115.50837090000277,-163,1
4.026800059343715,890,20,163,115.98766819998855,116.87749879999319,1,163
4.026800059343715,584,20,163,117.35638150002342,117.94063170003938,116,-115
4.026800059343715,747,20,163,118.40539720002562,119.15282100002514,-115,-115
4.026800059343715,1082,20,163,119.44040540000424,120.52252840000438,116,116
4.026800059343715,812,20,163,120.85146500001429,121.66343010001583,163,0
4.026800059343715,709,20,163,122.19538170000305,122.90467760001775,-115,116
5.026800059343715,832,10,163,123.31352379999589,124.14549389999593,116,-115
5.026800059343715,1041,10,163,124.38238680001814,125.42358330002753,0,-163
5.026800059343715,842,10,163,125.8423657999956,126.68445500003872,116,116
5.026800059343715,1031,10,163,127.23349000001326,128.26450099999784,-115,-115
5.026800059343715,1224,10,163,128.55345810001018,129.77742880000733,-115,116
5.026800059343715,1389,10,163,130.16640819999157,131.55552350002108,163,0
5.026800059343715,1255,10,163,132.02241770003457,133.27691980003146,-163,1
5.026800059343715,708,10,163,133.5784527999931,134.286632000003,1,163
6.614709844115209,1418,10,490,134.58356540004024,136.00155739998445,0,-490
6.614709844115209,1043,10,490,136.35647860000608,137.39955900004134,1,490
6.614709844115209,1089,10,490,137.71843680000165,138.8075467000017,-346,-346
6.614709844115209,2360,10,490,139.14145180000924,141.50160840002354,-346,347
6.614709844115209,1128,10,490,141.8744577000034,143.00257790001342,347,347
6.614709844115209,1127,10,490,143.4424742999836,144.56961350003257,347,-346
6.614709844115209,1363,10,490,145.05147549998946,146.41462570003932,490,0
6.614709844115209,1015,10,490,146.68749340000795,147.70257920003496,-490,1

