Index of Difficulty,Size (px),Distance (px),Target Position X (px),Target Position Y (px)
5.03121873061072,20,327,1,327
Timestamp (s),Position X (px),Position Y (px)
83.46336990001146,1108,654
83.46537600003649,1107,652
83.46637259999989,1106,652
83.46782280004118,1105,651
83.46972839999944,1104,650
83.47065040003508,1104,649
83.47168030001922,1103,649
83.47267390001798,1103,648
83.47365370002808,1102,647
83.47467670001788,1101,646
83.47537260001991,1100,645
83.47768710000673,1099,645
83.47868709999602,1099,644
83.47936769999797,1098,643
83.48167619999731,1097,643
83.48266350000631,1097,642
83.48494590003975,1095,640
83.48575230001006,1094,639
83.488359400013,1094,638
83.48937110003317,1093,638
83.49064470001031,1093,637
83.49135850003222,1092,637
83.49367930000881,1091,636
83.49565759999678,1091,635
83.49937790003605,1089,634
83.50068140000803,1088,634
83.50190159998601,1088,633
83.50468379998347,1088,632
83.50666640000418,1087,631
83.50837009999668,1086,631
83.51166449999437,1086,630
83.51367700000992,1086,629
83.51467629999388,1085,629
83.51566630002344,1084,629
83.51666000002297,1084,628
83.5178687000298,1083,628
83.51887890003854,1083,627
83.5226740000071,1082,627
83.52368869999191,1082,626
83.52465229999507,1081,626
83.52566320000915,1081,625
83.52637530001812,1081,624
83.52971580001758,1080,622
83.5306394000072,1079,621
83.5313742000144,1078,621
83.53499080002075,1077,620
83.53545670001768,1077,619
83.53667120001046,1076,619
83.53837490000296,1076,618
83.5393766000052,1075,616
83.54167730000336,1074,615
83.54237229999853,1074,614
83.5436655000085,1073,614
83.54437280003913,1073,613
83.54666170000564,1072,613
83.54736309999134,1072,612
83.54937540000537,1071,611
83.55177990003722,1070,609
83.55367280001519,1070,608
83.55737340002088,1069,608
83.55864509998355,1068,607
83.55937450000783,1068,606
83.56168530002469,1068,605
83.56435820000479,1067,605
83.56537500000559,1067,604
83.56670220004162,1066,604
83.56780329998583,1066,603
83.57170269999187,1066,602
83.57366540003568,1065,602
83.57537179999053,1065,601
83.57970639999257,1065,600
83.58067880000453,1064,600
83.58543010003632,1064,599
83.58638310001697,1063,599
